Lemma,K,TrueK,B-Cubed Precision,B-Cubed Recall,F-B-Cubed,N_instances,Strategy
aboutir,2,4,0.6919246167366468,0.680466472303207,0.6861477072824732,49,estimated
investir,3,4,0.6563971742543171,0.5023463931026957,0.5691315306904423,49,estimated
traduire,2,3,0.6687147977470558,0.879120879120879,0.7596169875965548,49,estimated
témoigner,4,2,0.875,0.3434108527131783,0.49324001503878084,48,estimated
juger,8,4,0.8108166343460461,0.34313725490196084,0.482205388481562,34,estimated
justifier,2,4,0.78515625,0.5873015873015873,0.6719674674328027,48,estimated
viser,2,2,0.8227504244482172,0.8305194805194805,0.8266166932860038,50,estimated
prononcer,2,5,0.4293455313159747,0.8307894586405992,0.5661230606943721,49,estimated
accomplir,3,4,0.6888327721661055,0.44577991452991456,0.541273361730904,48,estimated
convenir,5,5,0.6630351388675771,0.7118904704739037,0.6865948096526668,49,estimated
acquérir,8,5,0.7270476190476189,0.3206060606060606,0.4449864975761732,50,estimated
achever,2,3,0.5448888888888888,0.8322580645161292,0.6585908172382039,50,estimated
observer,4,4,0.6031111111111112,0.39666666666666667,0.478574493249792,50,estimated
adapter,3,5,0.6111555555555556,0.8097435897435897,0.6965720144201301,50,estimated
admettre,3,4,0.4884431017641008,0.43275075987841927,0.4589134382079625,47,estimated
entraîner,2,4,0.6551120448179272,0.6304824561403509,0.6425613170299835,48,estimated
payer,2,6,0.3825641025641025,0.5395238095238095,0.44768494860029956,50,estimated
respecter,2,2,0.7858971545607489,0.6357640617222498,0.7029032765926193,49,estimated
affecter,3,8,0.4298611111111111,0.45774711399711404,0.4433660600427219,48,estimated
demeurer,2,4,0.5824922360248448,0.6046888320545608,0.5933830253638089,46,estimated
aggraver,7,2,0.865,0.2551761517615176,0.3940940341501482,50,estimated
agir,2,5,0.6046037296037295,0.9125,0.727308079021028,48,estimated
ajouter,3,4,0.6282857142857143,0.6373333333333333,0.632777179137512,50,estimated
alimenter,2,3,0.5228377065111759,0.756805948185726,0.6184326107958557,49,estimated
coûter,6,4,0.4945997239475501,0.312008281573499,0.38263743222515745,46,estimated
relancer,2,3,0.5394813519813519,0.5607769423558897,0.54992305321314,48,estimated
préférer,7,3,0.6345454545454545,0.2293333333333333,0.33690472459735654,50,estimated
appliquer,2,3,0.4426807760141093,0.5222222222222223,0.47917300829582266,48,estimated
apporter,2,5,0.312183908045977,0.5363636363636364,0.39466048841600265,50,estimated
fonder,8,6,0.7946666666666666,0.5146666666666667,0.6247277616916583,50,estimated
appuyer,8,4,0.9258179462261096,0.34259857789269554,0.500125791855836,49,estimated
changer,8,5,0.4804347826086956,0.2781400966183575,0.35231373659036375,46,estimated
chuter,3,2,1.0,0.6679841897233202,0.800947862496687,33,estimated
soutenir,3,5,0.5371382870437691,0.48031456621919455,0.5071396477548061,46,estimated
concevoir,8,3,0.8826666666666668,0.21420289855072464,0.34474428450918443,50,estimated
interroger,2,3,0.6150764006791171,0.6444444444444444,0.6294180326020186,50,estimated
confirmer,2,4,0.33053221288515405,0.631203007518797,0.433867701336722,48,estimated
transformer,8,1,1.0,0.1796875,0.30463575900706114,16,estimated
manifester,2,3,0.7012244897959183,0.891156462585034,0.7848633594189229,49,estimated
interpeller,2,2,0.926470588235294,0.5788043478260869,0.7124880487869543,48,estimated
signer,2,5,0.7942857142857143,0.856,0.8239889146745824,50,estimated
rester,8,6,0.7246876055386693,0.44304319793681485,0.5499005602283282,47,estimated
tuer,5,2,0.6230055658627088,0.21632653061224486,0.3211425646070407,49,estimated
indiquer,3,3,0.7362884160756502,0.5302782324058921,0.61652928758699,47,estimated
conduire,4,6,0.47057198121027916,0.5764099966227625,0.5181414718730342,47,estimated
situer,3,2,0.8889565217391303,0.3954609929078014,0.5474039741640204,50,estimated
aider,2,5,0.2593755450898308,0.634402332361516,0.3682088202735615,49,estimated
poursuivre,6,5,0.8966565349544073,0.5010911074740861,0.6429009061020998,47,estimated
profiter,2,3,0.7835215946843853,0.7948837209302324,0.7891617577625661,50,estimated
détenir,2,2,0.5296404275996112,0.5375059722885809,0.5335442079219401,49,estimated
lire,3,5,0.6133333333333334,0.568,0.5897968347364828,50,estimated
contenir,7,5,0.6872841444270015,0.443731778425656,0.5392847383169067,49,estimated
noter,8,3,1.0,0.2986111111111111,0.4598930445869199,18,estimated
dater,5,2,1.0,0.41302235179786206,0.5845942186963724,49,estimated
adopter,5,5,0.6948624338624341,0.5593611111111111,0.6197922555885348,50,estimated
intervenir,7,3,0.8276643990929704,0.35729630197943835,0.49912444575199394,49,estimated
conclure,2,4,0.7604166666666666,0.9242424242424243,0.8343638698833339,48,estimated
disputer,3,3,0.8907142857142857,0.40212765957446805,0.5540984334528821,50,estimated
dominer,2,4,0.61496723996724,0.6516328828828829,0.6327693564292419,48,estimated
enregistrer,2,4,0.7517460317460319,0.8628571428571429,0.8034784512901806,45,estimated
estimer,2,2,0.7707883153261306,0.700261643118786,0.733834341137472,49,estimated
appartenir,4,4,0.47269261239849475,0.30836964415395784,0.37324566534988207,48,estimated
arriver,8,6,0.6819727891156462,0.36833216045038697,0.4783230022776057,49,estimated
chercher,8,4,0.6994444444444444,0.3181538461538462,0.4373649996076144,50,estimated
composer,5,4,0.9591836734693877,0.46274323682961555,0.6243017857514244,49,estimated
confier,7,2,1.0,0.37439999999999996,0.5448195536610917,50,estimated
